,Mission,Launch Date,launch_link,mission_headline
0,CRS-26 Mission,"November 26, 2022",/launches/crs-26/," On Saturday, November 26 at 2:20 p.m. ET, Falcon 9 launched Dragon’s 26th Commercial Resupply Services mission (CRS-26) to the International Space Station from Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida. Following stage separation, Falcon 9’s first stage landed on the Just Read the Instructions droneship in the Atlantic Ocean.,  Dragon will autonomously dock with the space station on Saturday, November 27, at approximately 7:30 a.m. ET (12:30 UTC)."
1,Eutelsat 10B Mission,"November 22, 2022",/launches/eutelsat-10b/," On Tuesday, November 22 at 9:57 p.m. ET, Falcon 9 launched the Eutelsat 10B mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the eleventh launch of this booster, which previously supported the launch of Telstar 18 VANTAGE, Iridium-8, and nine Starlink missions."
2,Intelsat G-31/G-32 Mission,"November 12, 2022",/launches/intelsat-g-31-g-32/," On Saturday, November 12 at 11:06 a.m. ET, Falcon 9 launched the Intelsat G-31/G-32 mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the fourteenth launch of this booster, which previously supported Dragon’s first crew demonstration mission, the RADARSAT Constellation Mission, SXM-7, and 10 Starlink missions."
3,Eutelsat HOTBIRD 13G Mission,"November 3, 2022",/launches/eutelsat-hotbird-13g/," On Thursday, November 3 at 1:22 a.m. ET, Falcon 9 launched the Eutelsat HOTBIRD 13G mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the seventh launch and landing of this booster, which previously supported the launch of CRS-22, Crew-3, Turksat 5B, Crew-4, CRS-25, and one Starlink mission."
4,USSF-44 Mission,"November 1, 2022",/launches/ussf-44/," On Tuesday, November 1 at 9:41 a.m. ET, Falcon Heavy launched the USSF-44 mission to a geosynchronous Earth orbit from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the first launch and landing of these Falcon Heavy side boosters, which will be prepared for re-flight on a future U.S. Space Force mission later this year."
5,Starlink Mission,"October 27, 2022",/launches/sl4-31/," On Thursday, October 27 at 6:14 p.m. PT, SpaceX launched 53 Starlink satellites to low-Earth orbit from Space Launch Complex 4E (SLC-4E) at Vandenberg Space Force Base in California.,  This was the eighth launch and landing for this Falcon 9 first stage booster, which previously launched Sentinel-6 Michael Freilich, DART, and now six Starlink missions."
6,Starlink Mission,"October 20, 2022",/launches/sl4-36/," On Thursday, October 20 at 10:50 a.m. ET, SpaceX launched 54 Starlink satellites to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the tenth launch and landing for this Falcon 9 first stage booster, which previously launched GPS III Space Vehicle 04, GPS III Space Vehicle 05, Inspiration4, Ax-1, Nilesat 301, and now five Starlink missions."
7,Eutelsat HOTBIRD 13F Mission,"October 15, 2022",/launches/eutelsat-hotbird-13f/," On Saturday, October 15 at 1:22 a.m. ET, Falcon 9 launched the Eutelsat HOTBIRD 13F mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the third launch and landing of this booster, which previously supported the launch of CRS-24 and one Starlink mission."
8,Crew-4 Returns to Earth,"October 14, 2022",/launches/crew-4-return/," After 170 days in space, Dragon and Crew-4 astronauts Kjell Lindgren, Bob Hines, Jessica Watkins, and Samantha Cristoforetti returned to Earth and splashed down off the coast of Florida at 4:55 p.m. ET on Friday, October 14.,  Falcon 9launchedDragon and the Crew-4 astronauts to the orbiting laboratory on Wednesday, April 27 at 3:52 a.m. ET from Launch Complex 39A at NASA’s Kennedy Space Center in Florida."
9,Intelsat G-33/G-34 Mission,"October 8, 2022",/launches/intelsatg33g34/," On Saturday, October 8 at 7:05 p.m. ET, Falcon 9 launched the Intelsat G-33/G-34 mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the 14th launch and landing of this booster, which previously supported the launch of GPS III-3, Turksat 5A, Transporter-2, and 10 Starlink missions."
